Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_perc_Change,Trend,sma21,sma34,Trade Call,sma14,std14,Bollinger Upper,Bollinger Lower
2019-06-28,1893.63,1909.1,1912.94,1884.0,3.04,6,2019,-1.4858052533828547,Negative,1970.368095238094,1910.4932352941166,HODL,1971.6400000000012,40.50679828982222,2052.6535965796456,1890.6264034203568
2019-06-27,1904.28,1902.0,1911.24,1898.04,2.14,6,2019,0.5624118756039964,Slight positive,1969.9790476190465,1914.2626470588227,HODL,1966.3814285714295,44.23838845603273,2054.858205483495,1877.9046516593642
2019-06-26,1897.83,1892.48,1903.8,1887.32,2.44,6,2019,-0.3387106938055329,Slight or No change,1967.825714285713,1918.229411764705,HODL,1959.6528571428582,47.107955302127934,2053.868767747114,1865.4369465386023
2019-06-25,1878.27,1911.84,1916.38,1872.42,3.01,6,2019,-1.030650795909005,Negative,1963.2757142857129,1919.815588235293,HODL,1950.2507142857153,49.388462443444226,2049.027639172604,1851.4737893988267
2019-06-24,1913.9,1912.66,1916.86,1901.3,2.28,6,2019,1.8969583712671767,Positive,1959.1371428571417,1923.6091176470577,HODL,1942.6014285714296,45.748500413783084,2034.0984293989957,1851.1044277438634
2019-06-21,1911.3,1916.1,1925.95,1907.58,3.93,6,2019,-0.1358482679345907,Slight or No change,1955.1757142857134,1926.6597058823518,HODL,1935.480000000001,41.87842954957217,2019.2368590991452,1851.7231409008566
2019-06-20,1918.19,1933.33,1935.2,1905.8,3.22,6,2019,0.360487626223005,Slight or No change,1951.964285714285,1929.1685294117638,HODL,1929.5600000000009,37.52505173470542,2004.6101034694118,1854.50989653059
2019-06-19,1908.79,1907.84,1919.58,1892.47,2.9,6,2019,-0.490045303124309,Slight or No change,1949.3104761904756,1932.5623529411755,HODL,1921.8014285714294,27.979000327757632,1977.7594292269446,1865.8434279159142
2019-06-18,1901.37,1901.35,1921.67,1899.79,3.9,6,2019,-0.3887279375939801,Slight or No change,1945.66619047619,1935.901764705881,HODL,1915.5921428571437,20.81480249119002,1957.2217478395237,1873.9625378747637
2019-06-17,1886.03,1876.5,1895.69,1875.45,2.63,6,2019,-0.8067866853900041,Slight negative,1940.618571428571,1939.4576470588222,HODL,1910.8571428571436,19.302111653539523,1949.4613661642227,1872.2529195500645
2019-06-14,1869.67,1864.0,1876.0,1859.0,2.85,6,2019,-0.8674305286766382,Slight negative,1933.9409523809518,1940.823235294116,SELL,1905.6257142857153,19.863524636604573,1945.3527635589244,1865.8986650125062
2019-06-13,1870.3,1866.72,1883.09,1862.22,2.8,6,2019,0.033695785887344336,Slight or No change,1926.7652380952377,1941.26382352941,HODL,1900.7185714285722,19.466376082932896,1939.651323594438,1861.7858192627064
2019-06-12,1855.32,1853.98,1865.0,1844.38,2.68,6,2019,-0.8009410255039318,Slight negative,1919.3519047619043,1940.926764705881,HODL,1895.0764285714292,20.405864016593764,1935.8881566046168,1854.2647005382416
2019-06-11,1863.7,1883.25,1893.7,1858.0,4.04,6,2019,0.4516741047366546,Slight or No change,1912.8104761904756,1939.902352941175,HODL,1890.8985714285723,20.41523256980176,1931.7290365681758,1850.0681062889687
2019-06-10,1860.63,1822.0,1884.87,1818.0,5.37,6,2019,-0.16472608252400267,Slight or No change,1905.344761904761,1938.3782352941164,HODL,1888.5414285714294,21.924875881462913,1932.391180334355,1844.6916768085036
2019-06-07,1804.03,1763.7,1806.25,1759.49,4.81,6,2019,-3.041980404486655,Among top losers,1896.569999999999,1934.2894117647045,HODL,1881.3807142857152,30.916412983368648,1943.2135402524525,1819.5478883189778
2019-06-06,1754.36,1737.71,1760.0,1726.13,3.69,6,2019,-2.7532801560949727,Negative,1887.1433333333323,1927.8347058823513,HODL,1871.1328571428583,45.420380452386325,1961.973618047631,1780.2920962380856
2019-06-05,1738.5,1749.6,1752.0,1715.25,4.24,6,2019,-0.9040333796940137,Slight negative,1877.4095238095226,1920.1197058823514,HODL,1861.1492857142869,57.48864415815354,1976.126574030594,1746.1719973979798
