Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2017-09-07,BAJFINANCE,EQ,1858.95,1880,1985.9,1871.15,1963,1963.2,1927.47,4271734,8233649353.8,88541,1597886,37.41,0.044255319148936,0.061325922560992,0.019820458244448,0.025460153604458,-1
2017-09-08,BAJFINANCE,EQ,1963.2,1970,1974.95,1881,1888,1891.2,1912.28,2856329,5462110853.7,97619,874438,30.61,-0.04,0.049946836788942,0.010459567538379,0.036237240432425,-1
2017-09-11,BAJFINANCE,EQ,1891.2,1900,1935.45,1898.05,1921.3,1920.45,1921.36,1098804,2111197299.4,35104,258097,23.49,0.010763157894737,0.019704433497537,0.013397281773391,0.035849445581031,-1
2017-09-12,BAJFINANCE,EQ,1920.45,1935,1935,1886.6,1894,1894.4,1897.68,1473997,2797173472.2,36080,777639,52.76,-0.020981912144703,0.025654616770911,0.011456019433633,0.037252770001797,-1
2017-09-13,BAJFINANCE,EQ,1894.4,1895,1924.7,1895,1910.6,1907.15,1911.94,810810,1550220895.15,27216,282546,34.85,0.006411609498681,0.015672823218997,0.005607486629624,0.034645695868648,-1
2017-09-14,BAJFINANCE,EQ,1907.15,1913,1935.5,1901,1913.9,1909.9,1916.61,951870,1824360919,37832,322852,33.92,-0.001620491374804,0.01814834297738,-0.005320133974734,0.020457914739206,-1
2017-09-15,BAJFINANCE,EQ,1909.9,1895.6,1912.1,1881.4,1903.55,1902.75,1897.94,922149,1750185270.2,37374,318560,34.55,0.003771892804389,0.016317635803125,0.001266099050434,0.010915378456952,-1
2017-09-18,BAJFINANCE,EQ,1902.75,1916,1929.25,1906.6,1912.5,1911.65,1918.61,430947,826819504.3,16318,180792,41.95,-0.002270354906054,0.011879786006504,-0.000891686951926,0.008113126480866,1
2017-09-19,BAJFINANCE,EQ,1911.65,1924.1,1928.7,1904.05,1912,1911.8,1916.78,598020,1146272073.25,22194,253830,42.45,-0.006392599137259,0.012946088600615,0.001836912126724,0.004074472004132,1
2017-09-20,BAJFINANCE,EQ,1911.8,1918.8,1918.85,1900,1904.5,1904.9,1907.55,377551,720198208.9,20822,145930,38.65,-0.007244110902647,0.009921052631579,-0.000230993336113,0.003561530813847,1
2017-09-21,BAJFINANCE,EQ,1904.9,1908,1926,1871.55,1916.6,1919.5,1900.63,754880,1434748303.25,32860,244885,32.44,0.006027253668763,0.029093532099062,0.001013507096443,0.005062936969595,-1
2017-09-22,BAJFINANCE,EQ,1919.5,1910,1910,1847,1858,1863.15,1868.15,1772943,3312125707.2,72997,926222,52.24,-0.024528795811518,0.034109366540336,-0.004109083259963,0.014756707879193,-1
2017-09-25,BAJFINANCE,EQ,1863.15,1859.95,1859.95,1759,1799.7,1796,1802.04,1826884,3292126622.4,67330,838025,45.87,-0.03438264469475,0.057390562819784,-0.01225279400299,0.0192476824571,-1
2017-09-26,BAJFINANCE,EQ,1796,1796,1862.8,1780.95,1839,1840.1,1819.82,1044947,1901610945.55,35310,221426,21.19,0.024554565701559,0.045958617591735,-0.007357574111965,0.025321922221916,-1
2017-09-27,BAJFINANCE,EQ,1840.1,1859,1859,1795.25,1808.2,1806.75,1820.25,764148,1390939692.75,28133,178509,23.36,-0.02810650887574,0.035510374599638,-0.010260544284101,0.02561507599539,-1
